Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
Qué Ganas de Verte - Deluxe,Marco Antonio Solís,Qué Ganas de Verte (Deluxe),2022-05-19,28.0,198960.0,0
EP #1 Forajido,Christian Nodal,,,,,0
La Carta,Los Tigres Del Norte,La Reunión (Deluxe),2022-05-20,45.0,265106.0,0
Porque Soy Abeja Reina,Chiquis,Porque Soy Abeja Reina,2023-01-20,51.0,158146.0,0
Cumbiana II,Carlos Vives,,,,,0
Imágenes Latinas,Spanish Harlem Orchestra,Imágenes Latinas,2022-06-17,9.0,387493.0,0
Legendario,Tito Nieves,,,,,0
Interlude Lado A,Víctor Manuelle,Lado A Lado B,2022-04-29,0.0,4000.0,0
Quiero Verte Feliz,La Santa Cecilia,Quiero Verte Feliz,2021-07-23,35.0,177773.0,0
Prodigal Daughter,Aoife O'Donovan,Age of Apathy,2022-01-21,40.0,222251.0,0
Oh Betty,Fantastic Negrito,White Jesus Black Problems,2022-06-03,40.0,236219.0,0
Life According To Raechel,Madison Cunningham,Revealer,2022-09-09,41.0,273235.0,0
Someday It’ll All Make Sense - Bluegrass Version,Bill Anderson,Someday It’ll All Make Sense (Bluegrass Version),2022-08-19,19.0,233996.0,0
You and Me On The Rock (feat. Lucius),Brandi Carlile,In These Silent Days,2021-10-01,61.0,230098.0,0
The Message,The Blind Boys Of Alabama,The Message,2022-09-09,30.0,244626.0,0
There You Go Again (feat. Lyle Lovett),Asleep At The Wheel,Half a Hundred Years,2021-10-01,23.0,240520.0,0
Silver Moon [A Tribute To Michael Nesmith],Eric Alexandrakis,,,,,0
High And Lonesome,nan,,,,,0
You And Me On The Rock,nan,,,,,0
Prodigal Daughter,nan,,,,,0
Forever in Love,Conjunto Nana Nenê,Músicas Para Bebê,2014-04-20,33.0,148733.0,0
"Star light, Star bright",NANO,BEST ALBUM 「I」,2020-03-18,24.0,249000.0,0
Just Like That,Bonnie Raitt,Just Like That...,2022-04-22,57.0,305160.0,0
Raise The Roof,Robert Plant,,,,,0
Good Strong Woman [Feat. Darius Rucker],Keb' Mo',Good To Be...,2022-01-21,33.0,198813.0,0
Guess Things Happen That Way,Dr. John,Things Happen That Way,2022-09-23,16.0,224453.0,0
Get Yourself Outside,Yonder Mountain String Band,,,,,0
From My Mountain (Calling You),Peter Rowan,Calling You From My Mountain,2022-06-24,22.0,292267.0,0
Almost Proud,The Del McCoury Band,Almost Proud,2022-02-18,16.0,218706.0,0
Toward the Fray,The Infamous Stringdusters,Toward the Fray,2022-02-18,15.0,162106.0,0
Mississippi Son,Charlie Musselwhite,,,,,0
The Sun is Shining Down (feat. Carolyn Wonderland),John Mayall,The Sun is Shining Down,2022-01-28,11.0,319997.0,0
Follow The Money (feat. James Taylor),Buddy Guy,The Blues Don't Lie,2022-09-30,43.0,222000.0,0
Heavy Load Blues,Gov't Mule,,,,,0
Set Sail part I (featuring Lamar Williams Jr.),North Mississippi Allstars,Set Sail,2022-01-28,43.0,297893.0,0
Bloodline Maintenance,Ben Harper,,,,,0
I Want My Crown,Eric Gales,Crown,2022-01-28,35.0,259226.0,0
Done Come Too Far,Shemekia Copeland,Done Come Too Far,2022-08-19,16.0,308121.0,0
Hell On Church Street,Punch Brothers,,,,,0
Age of Apathy,Aoife O'Donovan,Age of Apathy,2022-01-21,25.0,238218.0,0
The Light at the End of the Line,Janis Ian,The Light at the End of the Line,2022-01-21,26.0,170814.0,0
Spellbound,Judy Collins,Spellbound,2022-02-25,17.0,217202.0,0
Lucky Man,nan,,,,,0
Halau Hula Keali'i O Nalani - Live At The Getty Center,Halau Hula Keali'i O Nalani,,,,,0
Natalie Noelani,Natalie Ai Kamauu,,,,,0
Full Circle,Sean Ardoin,,,,,0
Come Fly with Me,Shaggy,Com Fly Wid Mi,2022-05-25,27.0,203960.0,0
Third Time's The Charm,Protoje,,,,,0
Scorcha - Hot Peppa Mix,Sean Paul,Scorcha,2022-05-27,27.0,136888.0,0
Gifted,Koffee,Gifted,2022-03-25,52.0,165600.0,0
Neva Bow Down,Rocky Dawuni,Neva Bow Down,2022-09-22,11.0,257512.0,0
Last Last,Burna Boy,"Love, Damini",2022-07-07,75.0,172342.0,0
Gimme Love (feat. Eddy Kenzo),Matt B,Gimme Love (feat. Eddy Kenzo),2022-03-04,39.0,160025.0,0
Udhero Na feat. Anoushka Shankar,Arooj Aftab,Udhero Na,2022-03-18,35.0,303361.0,0
Between Us... (Live),Anoushka Shankar,,,,,0
Queen Of Sheba,Angélique Kidjo,,,,,0
"Love, Damini (feat. Ladysmith Black Mambazo)",Burna Boy,"Love, Damini",2022-07-07,44.0,142737.0,0
Shuruaat,Berklee Indian Ensemble,,,,,0
Space Cadet,Justin Roberts,Space Cadet,2022-07-15,6.0,228746.0,0
Ready Set Go!,Divinity Roxx,,,,,0
Los Fabulosos,Lucky Diaz,,,,,0
Into The Little Blue House,nan,,,,,0
Act Like You Got Some Sense,Jamie Foxx,,,,,0
Music Is History,Questlove,,,,,0
Aristotle And Dante Dive Into The Waters Of The World,Lin-Manuel Miranda,,,,,0
